,Orderid,Orderdatetime,Saleamount,Newcustomer,Position,Positiondatetime,Groupname,Networkname,Networkid,Brand,Positionname,DaysToConvert
6,11634060,5/1/12 4:04,101.79,N,7,4/29/12 23:06,CPM,Adroll - adr,adr,N,CONVERTER,2
7,11634060,5/1/12 4:04,101.79,N,6,4/29/12 23:05,CPM,Adroll - adr,adr,N,ASSIST,2
8,11634060,5/1/12 4:04,101.79,N,5,4/29/12 22:57,CPM,Adroll - adr,adr,N,ROSTER,2
9,11634060,5/1/12 4:04,101.79,N,4,4/29/12 21:43,CPM,Accordant,n6899541,N,ROSTER,2
10,11634060,5/1/12 4:04,101.79,N,3,4/29/12 21:38,CPM,Accordant,n6899541,N,ROSTER,2
11,11634060,5/1/12 4:04,101.79,N,2,4/29/12 21:38,CPM,Accordant,n6899541,N,ROSTER,2
12,11634060,5/1/12 4:04,101.79,N,1,4/28/12 21:49,CPM,Mediawhiz,n62974792,N,ROSTER,3
13,11634060,5/1/12 4:04,101.79,N,0,4/28/12 4:39,CPM,Adroll - adr,adr,N,ORIGINATOR,3
14,11634119,5/1/12 4:39,174.69,N,1,5/1/12 4:17,CPM,Acerno,acerno,N,CONVERTER,0
15,11634119,5/1/12 4:39,174.69,N,0,4/30/12 0:54,CPM,Armonix,nar7467,N,ORIGINATOR,1
24,11634191,5/1/12 5:34,315,Y,3,4/30/12 20:26,CPM,Armonix,nar7467,N,CONVERTER,1
25,11634191,5/1/12 5:34,315,Y,2,4/30/12 20:26,CPM,Armonix,nar7467,N,ASSIST,1
26,11634191,5/1/12 5:34,315,Y,1,4/26/12 3:18,SEARCH GOOGLE BRAND,G: Medifast Brand Terms > Medifast > ,g000793,Y,ROSTER,5
27,11634191,5/1/12 5:34,315,Y,0,4/23/12 3:43,CPM,AOL - February 2011,N9457P1A,N,ORIGINATOR,8
31,11634218,5/1/12 6:24,256.5,Y,4,4/25/12 4:31,BUZZ AFFILIATE,ValueClick CPA,vc225,N,CONVERTER,6
32,11634218,5/1/12 6:24,256.5,Y,3,4/1/12 20:25,CPM,Armonix,nar7467,N,ASSIST,30
33,11634218,5/1/12 6:24,256.5,Y,2,4/1/12 20:22,CPM,Armonix,nar7467,N,ROSTER,30
34,11634218,5/1/12 6:24,256.5,Y,1,3/26/12 3:59,CPM,Armonix,nar7467,N,ROSTER,35
35,11634218,5/1/12 6:24,256.5,Y,0,3/26/12 1:33,SEARCH GOOGLE BRAND,G: Medifast Brand Terms > Medifast > ,g000793,Y,ORIGINATOR,35
36,11634233,5/1/12 6:59,264,Y,4,4/25/12 4:31,BUZZ AFFILIATE,ValueClick CPA,vc225,N,CONVERTER,6
37,11634233,5/1/12 6:59,264,Y,3,4/1/12 20:25,CPM,Armonix,nar7467,N,ASSIST,30
38,11634233,5/1/12 6:59,264,Y,2,4/1/12 20:22,CPM,Armonix,nar7467,N,ROSTER,30
39,11634233,5/1/12 6:59,264,Y,1,3/26/12 3:59,CPM,Armonix,nar7467,N,ROSTER,35
40,11634233,5/1/12 6:59,264,Y,0,3/26/12 1:33,SEARCH GOOGLE BRAND,G: Medifast Brand Terms > Medifast > ,g000793,Y,ORIGINATOR,35
45,11636452,5/1/12 10:04,291.48,N,5,5/1/12 9:59,Uncategorized,Uncategorized,uncategorized,N,CONVERTER,0
46,11636452,5/1/12 10:04,291.48,N,4,5/1/12 9:59,OTHER,MedifastHealth.com - Portal,medifasthealth,Y,ASSIST,0
47,11636452,5/1/12 10:04,291.48,N,3,4/20/12 9:52,CPM,Mediawhiz,n62974792,N,ROSTER,11
48,11636452,5/1/12 10:04,291.48,N,2,3/15/12 10:19,OTHER,MedifastHealth.com - Portal,medifasthealth,Y,ROSTER,46
49,11636452,5/1/12 10:04,291.48,N,1,3/15/12 10:19,Uncategorized,Uncategorized,uncategorized,N,ROSTER,46
50,11636452,5/1/12 10:04,291.48,N,0,1/31/12 21:39,Uncategorized,Uncategorized,uncategorized,N,ORIGINATOR,91
51,11637581,5/1/12 11:51,184.15,N,3,4/30/12 14:32,CPM,Mediawhiz,n62974792,N,CONVERTER,1
52,11637581,5/1/12 11:51,184.15,N,2,4/30/12 14:21,CPM,Adroll - adr,adr,N,ASSIST,1
53,11637581,5/1/12 11:51,184.15,N,1,4/30/12 14:20,CPM,Adroll - adr,adr,N,ROSTER,1
54,11637581,5/1/12 11:51,184.15,N,0,4/30/12 14:20,CPM,Adroll - adr,adr,N,ORIGINATOR,1
59,11637688,5/1/12 13:40,330,Y,3,5/1/12 12:46,CPM,Accordant,n6899541,N,CONVERTER,0
60,11637688,5/1/12 13:40,330,Y,2,4/29/12 17:40,SEARCH GOOGLE BRAND,G: Medifast Brand Terms > Medifast > ,g000793,Y,ASSIST,2
61,11637688,5/1/12 13:40,330,Y,1,4/29/12 12:13,SEARCH GOOGLE BRAND,G: Medifast Brand Terms > Medifast > ,g000793,Y,ROSTER,2
62,11637688,5/1/12 13:40,330,Y,0,4/27/12 18:39,CPM,Accordant,n6899541,N,ORIGINATOR,4
72,11637857,5/1/12 14:14,315,Y,3,5/1/12 13:53,BUZZ AFFILIATE,Buzz CPA Affiliate,buzz23,N,CONVERTER,0
73,11637857,5/1/12 14:14,315,Y,2,4/30/12 19:16,CJ,Commission Junction,cj22,N,ASSIST,1
74,11637857,5/1/12 14:14,315,Y,1,4/30/12 18:45,SEARCH GOOGLE BRAND,G: Medifast Brand Terms > Medifast Coupons > medifast coupon code,g001153,Y,ROSTER,1
75,11637857,5/1/12 14:14,315,Y,0,4/30/12 18:40,SEARCH GOOGLE BRAND,G: Medifast Brand Terms > Medifast URL Options > medifast.com,g001200,Y,ORIGINATOR,1
76,11637875,5/1/12 14:18,178.47,Y,1,5/1/12 14:14,CJ,Commission Junction,cj22,N,CONVERTER,0
